Fecha y hora del ciclo Pomodoro:
Y-m-d Fuera del horario laboral. Ciclo Pomodoro pausado.
2025-07-15 Trabajando..., vas 0 minutos
2025-07-18 18:28:34 ¡Hora de descansar!, vas 4 minutos
2025-07-18 18:29:49 Fuera del horario laboral. Ciclo Pomodoro pausado.
2025-07-18 18:29:49 Esperando a reiniciar el trabajo..., te quedan 30 minutos de descanso
2025-07-18 18:30:49 Esperando a reiniciar el trabajo..., te quedan 29 minutos de descanso
2025-07-18 18:31:49 Esperando a reiniciar el trabajo..., te quedan 28 minutos de descanso
2025-07-18 18:32:49 Esperando a reiniciar el trabajo..., te quedan 27 minutos de descanso
2025-07-18 18:33:49 Esperando a reiniciar el trabajo..., te quedan 26 minutos de descanso
2025-07-18 18:34:49 Esperando a reiniciar el trabajo..., te quedan 25 minutos de descanso
2025-07-18 18:35:49 Esperando a reiniciar el trabajo..., te quedan 24 minutos de descanso
2025-07-18 18:36:49 Esperando a reiniciar el trabajo..., te quedan 23 minutos de descanso
2025-07-18 18:37:49 Esperando a reiniciar el trabajo..., te quedan 22 minutos de descanso
2025-07-18 18:38:49 Esperando a reiniciar el trabajo..., te quedan 21 minutos de descanso
2025-07-18 18:39:49 Esperando a reiniciar el trabajo..., te quedan 20 minutos de descanso
2025-07-18 18:40:49 Esperando a reiniciar el trabajo..., te quedan 19 minutos de descanso
2025-07-18 18:41:49 Esperando a reiniciar el trabajo..., te quedan 18 minutos de descanso
2025-07-18 18:42:50 Esperando a reiniciar el trabajo..., te quedan 17 minutos de descanso
2025-07-18 18:43:50 Esperando a reiniciar el trabajo..., te quedan 16 minutos de descanso
2025-07-18 18:44:50 Esperando a reiniciar el trabajo..., te quedan 15 minutos de descanso
2025-07-18 18:45:50 Esperando a reiniciar el trabajo..., te quedan 14 minutos de descanso
2025-07-18 18:46:50 Esperando a reiniciar el trabajo..., te quedan 13 minutos de descanso
2025-07-18 18:47:50 Esperando a reiniciar el trabajo..., te quedan 12 minutos de descanso
2025-07-18 18:48:50 Esperando a reiniciar el trabajo..., te quedan 11 minutos de descanso
2025-07-18 18:49:50 Esperando a reiniciar el trabajo..., te quedan 10 minutos de descanso
2025-07-18 18:50:50 Esperando a reiniciar el trabajo..., te quedan 9 minutos de descanso
2025-07-18 18:51:50 Esperando a reiniciar el trabajo..., te quedan 8 minutos de descanso
2025-07-18 18:52:50 Esperando a reiniciar el trabajo..., te quedan 7 minutos de descanso
2025-07-18 18:53:50 Esperando a reiniciar el trabajo..., te quedan 6 minutos de descanso
2025-07-18 18:54:50 Esperando a reiniciar el trabajo..., te quedan 5 minutos de descanso
2025-07-18 18:55:50 Esperando a reiniciar el trabajo..., te quedan 4 minutos de descanso
2025-07-18 18:56:50 Esperando a reiniciar el trabajo..., te quedan 3 minutos de descanso
2025-07-18 18:57:50 Esperando a reiniciar el trabajo..., te quedan 2 minutos de descanso
2025-07-18 18:58:50 Esperando a reiniciar el trabajo..., te quedan 1 minutos de descanso
2025-07-19 14:18:38 Trabajando..., vas 0 minutos
2025-07-19 14:19:38 Trabajando..., vas 1 minutos
2025-07-19 14:20:38 Trabajando..., vas 2 minutos
2025-07-19 14:21:38 Trabajando..., vas 3 minutos
2025-07-19 14:22:39 Trabajando..., vas 4 minutos
2025-07-19 14:23:39 Trabajando..., vas 5 minutos
2025-07-19 14:24:39 Trabajando..., vas 6 minutos
2025-07-19 14:25:39 Trabajando..., vas 7 minutos
2025-07-19 14:26:39 Trabajando..., vas 8 minutos
2025-07-19 14:27:39 Trabajando..., vas 9 minutos
2025-07-19 14:28:39 Trabajando..., vas 10 minutos
2025-07-19 14:29:39 Trabajando..., vas 11 minutos
2025-07-19 14:30:39 Trabajando..., vas 12 minutos
2025-07-19 14:31:39 Trabajando..., vas 13 minutos
2025-07-19 14:32:39 Trabajando..., vas 14 minutos
2025-07-19 14:33:39 Trabajando..., vas 15 minutos
2025-07-19 14:34:39 Trabajando..., vas 16 minutos
2025-07-19 14:35:39 Trabajando..., vas 17 minutos
2025-07-19 14:36:39 Trabajando..., vas 18 minutos
2025-07-19 14:37:39 Trabajando..., vas 19 minutos
2025-07-19 14:38:39 Trabajando..., vas 20 minutos
2025-07-19 14:39:39 Trabajando..., vas 21 minutos
2025-07-19 14:40:39 Trabajando..., vas 22 minutos
2025-07-19 14:41:39 Trabajando..., vas 23 minutos
2025-07-19 14:42:39 Trabajando..., vas 24 minutos
2025-07-19 14:43:40 ¡Hora de descansar!, vas 0 minutos
2025-07-19 14:44:40 ¡Hora de descansar!, vas 1 minutos
2025-07-19 14:45:40 ¡Hora de descansar!, vas 2 minutos
2025-07-19 14:46:40 ¡Hora de descansar!, vas 3 minutos
2025-07-19 14:47:40 ¡Hora de descansar!, vas 4 minutos
2025-07-19 14:48:40 Trabajando..., vas 0 minutos
2025-07-19 14:49:40 Trabajando..., vas 1 minutos
2025-07-19 14:50:40 Trabajando..., vas 2 minutos
2025-07-19 14:51:40 Trabajando..., vas 3 minutos
2025-07-19 14:52:40 Trabajando..., vas 4 minutos
2025-07-19 14:53:40 Trabajando..., vas 5 minutos
2025-07-19 14:54:40 Trabajando..., vas 6 minutos
2025-07-19 14:55:40 Trabajando..., vas 7 minutos
2025-07-19 14:56:40 Trabajando..., vas 8 minutos
2025-07-19 14:57:40 Trabajando..., vas 9 minutos
2025-07-19 14:58:40 Trabajando..., vas 10 minutos
2025-07-19 14:59:41 Trabajando..., vas 11 minutos
2025-07-19 15:00:41 Trabajando..., vas 12 minutos
2025-07-19 15:01:41 Trabajando..., vas 13 minutos
2025-07-19 15:02:41 Trabajando..., vas 14 minutos
2025-07-19 15:03:41 Trabajando..., vas 15 minutos
2025-07-19 15:04:41 Trabajando..., vas 16 minutos
2025-07-19 15:05:41 Trabajando..., vas 17 minutos
2025-07-19 15:06:41 Trabajando..., vas 18 minutos
2025-07-19 15:07:41 Trabajando..., vas 19 minutos
2025-07-19 15:08:41 Trabajando..., vas 20 minutos
2025-07-19 15:09:41 Trabajando..., vas 21 minutos
2025-07-19 15:10:41 Trabajando..., vas 22 minutos
2025-07-19 15:11:41 Trabajando..., vas 23 minutos
2025-07-19 15:12:41 Trabajando..., vas 24 minutos
2025-07-19 15:13:41 ¡Hora de descansar!, vas 0 minutos
2025-07-19 15:14:41 ¡Hora de descansar!, vas 1 minutos
2025-07-19 15:15:41 ¡Hora de descansar!, vas 2 minutos
2025-07-19 15:16:41 ¡Hora de descansar!, vas 3 minutos
2025-07-19 15:17:41 ¡Hora de descansar!, vas 4 minutos
2025-07-19 15:18:41 Trabajando..., vas 0 minutos
2025-07-19 15:19:41 Trabajando..., vas 1 minutos
2025-07-19 15:20:42 Trabajando..., vas 2 minutos
2025-07-19 15:21:42 Trabajando..., vas 3 minutos
2025-07-19 15:22:42 Trabajando..., vas 4 minutos
2025-07-19 15:23:42 Trabajando..., vas 5 minutos
2025-07-19 15:24:42 Trabajando..., vas 6 minutos
2025-07-19 15:25:42 Trabajando..., vas 7 minutos
2025-07-19 15:26:42 Trabajando..., vas 8 minutos
2025-07-19 15:27:42 Trabajando..., vas 9 minutos
2025-07-19 15:28:42 Trabajando..., vas 10 minutos
2025-07-19 15:29:42 Trabajando..., vas 11 minutos
2025-07-19 15:30:42 Trabajando..., vas 12 minutos
2025-07-19 15:31:42 Trabajando..., vas 13 minutos
2025-07-19 15:32:42 Trabajando..., vas 14 minutos
2025-07-19 15:33:42 Trabajando..., vas 15 minutos
2025-07-19 15:34:42 Trabajando..., vas 16 minutos
2025-07-19 15:35:42 Trabajando..., vas 17 minutos
2025-07-19 15:36:42 Trabajando..., vas 18 minutos
2025-07-19 15:37:42 Trabajando..., vas 19 minutos
2025-07-19 15:38:42 Trabajando..., vas 20 minutos
2025-07-19 15:39:42 Trabajando..., vas 21 minutos
2025-07-19 15:40:42 Trabajando..., vas 22 minutos
2025-07-19 15:41:42 Trabajando..., vas 23 minutos
2025-07-19 15:42:43 Trabajando..., vas 24 minutos
2025-07-19 15:43:43 ¡Hora de descansar!, vas 0 minutos
2025-07-19 15:44:43 ¡Hora de descansar!, vas 1 minutos
2025-07-19 15:45:43 ¡Hora de descansar!, vas 2 minutos
2025-07-19 15:46:43 ¡Hora de descansar!, vas 3 minutos
2025-07-19 15:47:43 ¡Hora de descansar!, vas 4 minutos
2025-07-19 15:48:43 Trabajando..., vas 0 minutos
2025-07-19 15:49:43 Trabajando..., vas 1 minutos
2025-07-19 15:50:43 Trabajando..., vas 2 minutos
2025-07-19 15:51:43 Trabajando..., vas 3 minutos
2025-07-19 15:52:43 Trabajando..., vas 4 minutos
2025-07-19 15:53:43 Trabajando..., vas 5 minutos
2025-07-19 15:54:43 Trabajando..., vas 6 minutos
2025-07-19 15:55:43 Trabajando..., vas 7 minutos
2025-07-19 15:56:43 Trabajando..., vas 8 minutos
2025-07-19 15:57:43 Trabajando..., vas 9 minutos
2025-07-19 15:58:43 Trabajando..., vas 10 minutos
2025-07-19 15:59:43 Trabajando..., vas 11 minutos
2025-07-19 16:00:43 Trabajando..., vas 12 minutos
2025-07-19 16:01:43 Trabajando..., vas 13 minutos
2025-07-19 16:02:43 Trabajando..., vas 14 minutos
2025-07-19 16:03:43 Trabajando..., vas 15 minutos
2025-07-19 16:04:44 Trabajando..., vas 16 minutos
2025-07-19 16:05:44 Trabajando..., vas 17 minutos
2025-07-19 16:06:44 Trabajando..., vas 18 minutos
2025-07-19 16:07:44 Trabajando..., vas 19 minutos
2025-07-19 16:08:44 Trabajando..., vas 20 minutos
2025-07-19 16:09:44 Trabajando..., vas 21 minutos
2025-07-19 16:10:44 Trabajando..., vas 22 minutos
2025-07-19 16:11:44 Trabajando..., vas 23 minutos
2025-07-19 16:12:44 Trabajando..., vas 24 minutos
2025-07-19 16:13:44 ¡Hora de descansar!, vas 0 minutos
2025-07-19 16:14:44 ¡Hora de descansar!, vas 1 minutos
2025-07-19 20:15:13 ¡Hora de descansar!, vas 2 minutos
2025-07-19 20:16:13 ¡Hora de descansar!, vas 3 minutos
2025-07-19 20:17:13 ¡Hora de descansar!, vas 4 minutos
2025-07-19 20:18:21 ¡Hora de cenar!
2025-07-19 21:18:21 Trabajando..., vas 0 minutos
2025-07-19 21:19:21 Trabajando..., vas 1 minutos
2025-07-19 21:20:21 Trabajando..., vas 2 minutos
2025-07-19 21:21:21 Trabajando..., vas 3 minutos
2025-07-19 21:22:21 Trabajando..., vas 4 minutos
2025-07-19 21:23:21 Trabajando..., vas 5 minutos
2025-07-19 21:24:21 Trabajando..., vas 6 minutos
2025-07-19 21:25:21 Trabajando..., vas 7 minutos
2025-07-19 21:26:21 Trabajando..., vas 8 minutos
2025-07-19 21:27:21 Trabajando..., vas 9 minutos
2025-07-19 21:28:21 Trabajando..., vas 10 minutos
2025-07-19 21:29:21 Trabajando..., vas 11 minutos
2025-07-19 21:30:21 Trabajando..., vas 12 minutos
2025-07-19 21:31:21 Trabajando..., vas 13 minutos
2025-07-19 21:32:21 Trabajando..., vas 14 minutos
2025-07-19 21:33:22 Trabajando..., vas 15 minutos
2025-07-19 21:34:22 Trabajando..., vas 16 minutos
2025-07-19 21:35:22 Trabajando..., vas 17 minutos
2025-07-19 21:36:22 Trabajando..., vas 18 minutos
2025-07-19 21:37:22 Trabajando..., vas 19 minutos
2025-07-19 21:38:22 Trabajando..., vas 20 minutos
2025-07-19 21:39:22 Trabajando..., vas 21 minutos
2025-07-19 21:40:22 Trabajando..., vas 22 minutos
2025-07-19 21:41:22 Trabajando..., vas 23 minutos
2025-07-19 21:42:22 Trabajando..., vas 24 minutos
2025-07-19 21:43:22 ¡Hora de descansar!, vas 0 minutos
2025-07-19 21:44:22 ¡Hora de descansar!, vas 1 minutos
2025-07-19 21:45:22 ¡Hora de descansar!, vas 2 minutos
2025-07-19 21:46:22 ¡Hora de descansar!, vas 3 minutos
2025-07-19 21:47:22 ¡Hora de descansar!, vas 4 minutos
2025-07-19 21:48:22 Trabajando..., vas 0 minutos
2025-07-19 21:49:22 Trabajando..., vas 1 minutos
2025-07-19 21:50:22 Trabajando..., vas 2 minutos
2025-07-19 21:51:22 Trabajando..., vas 3 minutos
2025-07-19 21:52:22 Trabajando..., vas 4 minutos
2025-07-19 21:53:22 Trabajando..., vas 5 minutos
2025-07-19 21:54:23 Trabajando..., vas 6 minutos
2025-07-19 21:55:23 Trabajando..., vas 7 minutos
2025-07-19 21:56:23 Trabajando..., vas 8 minutos
2025-07-19 21:57:23 Trabajando..., vas 9 minutos
2025-07-19 21:58:23 Trabajando..., vas 10 minutos
2025-07-19 21:59:23 Trabajando..., vas 11 minutos
2025-07-19 22:00:23 Trabajando..., vas 12 minutos
2025-07-19 22:01:23 Trabajando..., vas 13 minutos
2025-07-19 22:02:23 Trabajando..., vas 14 minutos
2025-07-19 22:03:23 Trabajando..., vas 15 minutos
2025-07-19 22:04:23 Trabajando..., vas 16 minutos
2025-07-19 22:05:23 Trabajando..., vas 17 minutos
2025-07-19 22:06:23 Trabajando..., vas 18 minutos
2025-07-19 22:07:23 Trabajando..., vas 19 minutos
2025-07-19 22:08:23 Trabajando..., vas 20 minutos
2025-07-19 22:09:23 Trabajando..., vas 21 minutos
2025-07-19 22:10:23 Trabajando..., vas 22 minutos
2025-07-19 22:11:23 Trabajando..., vas 23 minutos
2025-07-19 22:12:23 Trabajando..., vas 24 minutos
2025-07-19 22:13:23 ¡Hora de descansar!, vas 0 minutos
2025-07-19 22:14:24 ¡Hora de descansar!, vas 1 minutos
2025-07-19 22:15:24 ¡Hora de descansar!, vas 2 minutos
2025-07-19 22:16:24 ¡Hora de descansar!, vas 3 minutos
2025-07-19 22:17:24 ¡Hora de descansar!, vas 4 minutos
2025-07-19 22:18:24 Trabajando..., vas 0 minutos
2025-07-19 22:19:24 Trabajando..., vas 1 minutos
2025-07-19 22:20:24 Trabajando..., vas 2 minutos
2025-07-19 22:21:24 Trabajando..., vas 3 minutos
2025-07-19 22:22:24 Trabajando..., vas 4 minutos
2025-07-19 22:23:24 Trabajando..., vas 5 minutos
2025-07-19 22:24:24 Trabajando..., vas 6 minutos
2025-07-19 22:25:24 Trabajando..., vas 7 minutos
2025-07-19 22:26:24 Trabajando..., vas 8 minutos
2025-07-19 22:27:24 Trabajando..., vas 9 minutos
2025-07-19 22:28:24 Trabajando..., vas 10 minutos
2025-07-19 22:29:24 Trabajando..., vas 11 minutos
2025-07-19 22:30:24 Trabajando..., vas 12 minutos
2025-07-19 22:31:24 Trabajando..., vas 13 minutos
2025-07-19 22:32:24 Trabajando..., vas 14 minutos
2025-07-19 22:33:25 Trabajando..., vas 15 minutos
2025-07-19 22:34:25 Trabajando..., vas 16 minutos
2025-07-19 22:35:25 Trabajando..., vas 17 minutos
2025-07-19 22:36:25 Trabajando..., vas 18 minutos
2025-07-19 22:37:25 Trabajando..., vas 19 minutos
2025-07-19 22:38:25 Trabajando..., vas 20 minutos
2025-07-19 22:39:25 Trabajando..., vas 21 minutos
2025-07-19 22:40:25 Trabajando..., vas 22 minutos
2025-07-19 22:41:25 Trabajando..., vas 23 minutos
2025-07-19 22:42:25 Trabajando..., vas 24 minutos
2025-07-19 22:43:25 ¡Hora de descansar!, vas 0 minutos
2025-07-19 22:44:25 ¡Hora de descansar!, vas 1 minutos
2025-07-19 22:45:25 ¡Hora de descansar!, vas 2 minutos
2025-07-19 22:46:25 ¡Hora de descansar!, vas 3 minutos
2025-07-19 22:47:25 ¡Hora de descansar!, vas 4 minutos
2025-07-19 22:48:25 Trabajando..., vas 0 minutos
2025-07-19 22:49:25 Trabajando..., vas 1 minutos
2025-07-19 22:50:25 Trabajando..., vas 2 minutos
2025-07-19 22:51:25 Trabajando..., vas 3 minutos
2025-07-19 22:52:25 Trabajando..., vas 4 minutos
2025-07-19 22:53:25 Trabajando..., vas 5 minutos
2025-07-19 22:54:25 Trabajando..., vas 6 minutos
2025-07-19 22:55:25 Trabajando..., vas 7 minutos
2025-07-19 22:56:26 Trabajando..., vas 8 minutos
2025-07-19 22:57:26 Trabajando..., vas 9 minutos
2025-07-19 22:58:26 Trabajando..., vas 10 minutos
2025-07-19 22:59:26 Trabajando..., vas 11 minutos
2025-07-19 23:00:26 Trabajando..., vas 12 minutos
2025-07-19 23:01:26 Trabajando..., vas 13 minutos
2025-07-19 23:02:26 Trabajando..., vas 14 minutos
2025-07-19 23:03:26 Trabajando..., vas 15 minutos
2025-07-19 23:04:26 Trabajando..., vas 16 minutos
2025-07-19 23:05:26 Trabajando..., vas 17 minutos
2025-07-19 23:06:26 Trabajando..., vas 18 minutos
2025-07-19 23:07:26 Trabajando..., vas 19 minutos
2025-07-19 23:08:26 Trabajando..., vas 20 minutos
2025-07-19 23:09:26 Trabajando..., vas 21 minutos
2025-07-19 23:10:26 Trabajando..., vas 22 minutos
2025-07-19 23:11:26 Trabajando..., vas 23 minutos
2025-07-19 23:12:26 Trabajando..., vas 24 minutos
2025-07-19 23:13:26 ¡Hora de descansar!, vas 0 minutos
2025-07-19 23:14:26 ¡Hora de descansar!, vas 1 minutos
2025-07-19 23:15:26 ¡Hora de descansar!, vas 2 minutos
2025-07-19 23:16:26 ¡Hora de descansar!, vas 3 minutos
2025-07-19 23:17:26 ¡Hora de descansar!, vas 4 minutos
2025-07-19 23:18:27 Trabajando..., vas 0 minutos
2025-07-19 23:19:27 Trabajando..., vas 1 minutos
2025-07-19 23:20:27 Trabajando..., vas 2 minutos
2025-07-19 23:21:27 Trabajando..., vas 3 minutos
2025-07-19 23:22:27 Trabajando..., vas 4 minutos
2025-07-19 23:23:27 Trabajando..., vas 5 minutos
2025-07-19 23:24:27 Trabajando..., vas 6 minutos
2025-07-19 23:25:27 Trabajando..., vas 7 minutos
2025-07-19 23:26:27 Trabajando..., vas 8 minutos
2025-07-19 23:27:27 Trabajando..., vas 9 minutos
2025-07-19 23:28:27 Trabajando..., vas 10 minutos
2025-07-19 23:29:27 Trabajando..., vas 11 minutos
2025-07-19 23:30:27 Trabajando..., vas 12 minutos
2025-07-19 23:31:27 Trabajando..., vas 13 minutos
2025-07-19 23:32:27 Trabajando..., vas 14 minutos
2025-07-19 23:33:27 Trabajando..., vas 15 minutos
2025-07-19 23:34:27 Trabajando..., vas 16 minutos
2025-07-19 23:35:27 Trabajando..., vas 17 minutos
2025-07-19 23:36:27 Trabajando..., vas 18 minutos
2025-07-19 23:37:27 Trabajando..., vas 19 minutos
2025-07-19 23:38:27 Trabajando..., vas 20 minutos
2025-07-19 23:39:27 Trabajando..., vas 21 minutos
2025-07-19 23:40:27 Trabajando..., vas 22 minutos
2025-07-19 23:41:28 Trabajando..., vas 23 minutos
2025-07-19 23:42:28 Trabajando..., vas 24 minutos
2025-07-19 23:43:28 ¡Hora de descansar!, vas 0 minutos
2025-07-19 23:44:28 ¡Hora de descansar!, vas 1 minutos
2025-07-19 23:45:28 ¡Hora de descansar!, vas 2 minutos
2025-07-19 23:46:28 ¡Hora de descansar!, vas 3 minutos
2025-07-19 23:47:28 ¡Hora de descansar!, vas 4 minutos
2025-07-19 23:48:28 Trabajando..., vas 0 minutos
2025-07-19 23:49:28 Trabajando..., vas 1 minutos
2025-07-19 23:50:28 Trabajando..., vas 2 minutos
2025-07-19 23:51:28 Trabajando..., vas 3 minutos
2025-07-19 23:52:28 Trabajando..., vas 4 minutos
2025-07-19 23:53:28 Trabajando..., vas 5 minutos
2025-07-19 23:54:28 Trabajando..., vas 6 minutos
2025-07-19 23:55:28 Trabajando..., vas 7 minutos
2025-07-19 23:56:28 Trabajando..., vas 8 minutos
2025-07-19 23:57:28 Trabajando..., vas 9 minutos
2025-07-19 23:58:28 Trabajando..., vas 10 minutos
2025-07-19 23:59:28 Trabajando..., vas 11 minutos
2025-07-20 00:00:28 Trabajando..., vas 12 minutos
2025-07-20 00:01:28 Trabajando..., vas 13 minutos
2025-07-20 00:02:28 Trabajando..., vas 14 minutos
2025-07-20 00:03:28 Trabajando..., vas 15 minutos
2025-07-20 00:04:28 Trabajando..., vas 16 minutos
2025-07-20 00:05:28 Trabajando..., vas 17 minutos
2025-07-20 00:06:28 Trabajando..., vas 18 minutos
2025-07-20 00:07:28 Trabajando..., vas 19 minutos
2025-07-20 00:08:28 Trabajando..., vas 20 minutos
2025-07-20 00:09:28 Trabajando..., vas 21 minutos
2025-07-20 00:10:28 Trabajando..., vas 22 minutos
2025-07-20 00:11:28 Trabajando..., vas 23 minutos
2025-07-20 00:12:28 Trabajando..., vas 24 minutos
2025-07-20 00:13:29 ¡Hora de descansar!, vas 0 minutos
2025-07-20 00:14:29 ¡Hora de descansar!, vas 1 minutos
2025-07-20 00:15:29 ¡Hora de descansar!, vas 2 minutos
2025-07-20 00:16:29 ¡Hora de descansar!, vas 3 minutos
2025-07-20 00:17:29 ¡Hora de descansar!, vas 4 minutos
2025-07-20 00:18:29 Fuera del horario laboral. Ciclo Pomodoro pausado.
2025-07-20 00:18:29 Esperando a reiniciar el trabajo..., te quedan 1121 minutos de descanso
2025-07-20 00:19:29 Esperando a reiniciar el trabajo..., te quedan 1120 minutos de descanso
2025-07-20 00:20:29 Esperando a reiniciar el trabajo..., te quedan 1119 minutos de descanso
2025-07-20 00:21:29 Esperando a reiniciar el trabajo..., te quedan 1118 minutos de descanso
2025-07-20 00:22:29 Esperando a reiniciar el trabajo..., te quedan 1117 minutos de descanso
2025-07-20 00:23:29 Esperando a reiniciar el trabajo..., te quedan 1116 minutos de descanso
2025-07-20 00:24:29 Esperando a reiniciar el trabajo..., te quedan 1115 minutos de descanso
2025-07-20 00:25:29 Esperando a reiniciar el trabajo..., te quedan 1114 minutos de descanso
2025-07-20 00:26:29 Esperando a reiniciar el trabajo..., te quedan 1113 minutos de descanso
2025-07-20 00:27:29 Esperando a reiniciar el trabajo..., te quedan 1112 minutos de descanso
2025-07-20 00:28:29 Esperando a reiniciar el trabajo..., te quedan 1111 minutos de descanso
2025-07-20 00:29:29 Esperando a reiniciar el trabajo..., te quedan 1110 minutos de descanso
2025-07-20 00:30:29 Esperando a reiniciar el trabajo..., te quedan 1109 minutos de descanso
2025-07-20 00:31:29 Esperando a reiniciar el trabajo..., te quedan 1108 minutos de descanso
2025-07-20 00:32:29 Esperando a reiniciar el trabajo..., te quedan 1107 minutos de descanso
2025-07-20 00:33:29 Esperando a reiniciar el trabajo..., te quedan 1106 minutos de descanso
2025-07-20 00:34:29 Esperando a reiniciar el trabajo..., te quedan 1105 minutos de descanso
2025-07-20 00:35:29 Esperando a reiniciar el trabajo..., te quedan 1104 minutos de descanso
2025-07-20 00:36:29 Esperando a reiniciar el trabajo..., te quedan 1103 minutos de descanso
2025-07-20 00:37:29 Esperando a reiniciar el trabajo..., te quedan 1102 minutos de descanso
2025-07-20 00:38:29 Esperando a reiniciar el trabajo..., te quedan 1101 minutos de descanso
2025-07-20 00:39:29 Esperando a reiniciar el trabajo..., te quedan 1100 minutos de descanso
2025-07-20 00:40:29 Esperando a reiniciar el trabajo..., te quedan 1099 minutos de descanso
2025-07-20 00:41:29 Esperando a reiniciar el trabajo..., te quedan 1098 minutos de descanso
2025-07-20 00:42:29 Esperando a reiniciar el trabajo..., te quedan 1097 minutos de descanso
2025-07-20 00:43:29 Esperando a reiniciar el trabajo..., te quedan 1096 minutos de descanso
2025-07-20 00:44:29 Esperando a reiniciar el trabajo..., te quedan 1095 minutos de descanso
2025-07-20 00:45:30 Esperando a reiniciar el trabajo..., te quedan 1094 minutos de descanso
2025-07-20 00:46:30 Esperando a reiniciar el trabajo..., te quedan 1093 minutos de descanso
2025-07-20 00:47:30 Esperando a reiniciar el trabajo..., te quedan 1092 minutos de descanso
2025-07-20 00:48:30 Esperando a reiniciar el trabajo..., te quedan 1091 minutos de descanso
2025-07-20 00:49:30 Esperando a reiniciar el trabajo..., te quedan 1090 minutos de descanso
2025-07-20 00:50:30 Esperando a reiniciar el trabajo..., te quedan 1089 minutos de descanso
2025-07-20 00:51:30 Esperando a reiniciar el trabajo..., te quedan 1088 minutos de descanso
2025-07-20 00:52:30 Esperando a reiniciar el trabajo..., te quedan 1087 minutos de descanso
2025-07-20 00:53:30 Esperando a reiniciar el trabajo..., te quedan 1086 minutos de descanso
2025-07-20 00:54:30 Esperando a reiniciar el trabajo..., te quedan 1085 minutos de descanso
2025-07-20 00:55:30 Esperando a reiniciar el trabajo..., te quedan 1084 minutos de descanso
2025-07-20 00:56:30 Esperando a reiniciar el trabajo..., te quedan 1083 minutos de descanso
2025-07-20 00:57:30 Esperando a reiniciar el trabajo..., te quedan 1082 minutos de descanso
2025-07-20 00:58:30 Esperando a reiniciar el trabajo..., te quedan 1081 minutos de descanso
2025-07-20 00:59:30 Esperando a reiniciar el trabajo..., te quedan 1080 minutos de descanso
2025-07-20 01:00:30 Esperando a reiniciar el trabajo..., te quedan 1079 minutos de descanso
2025-07-20 01:01:30 Esperando a reiniciar el trabajo..., te quedan 1078 minutos de descanso
2025-07-20 01:02:30 Esperando a reiniciar el trabajo..., te quedan 1077 minutos de descanso
2025-07-20 01:03:30 Esperando a reiniciar el trabajo..., te quedan 1076 minutos de descanso
2025-07-20 01:04:30 Esperando a reiniciar el trabajo..., te quedan 1075 minutos de descanso
2025-07-20 01:05:30 Esperando a reiniciar el trabajo..., te quedan 1074 minutos de descanso
2025-07-20 01:06:30 Esperando a reiniciar el trabajo..., te quedan 1073 minutos de descanso
2025-07-20 01:07:30 Esperando a reiniciar el trabajo..., te quedan 1072 minutos de descanso
2025-07-20 01:08:30 Esperando a reiniciar el trabajo..., te quedan 1071 minutos de descanso
2025-07-20 01:09:30 Esperando a reiniciar el trabajo..., te quedan 1070 minutos de descanso
2025-07-20 01:10:30 Esperando a reiniciar el trabajo..., te quedan 1069 minutos de descanso
2025-07-20 01:11:30 Esperando a reiniciar el trabajo..., te quedan 1068 minutos de descanso
2025-07-20 01:12:30 Esperando a reiniciar el trabajo..., te quedan 1067 minutos de descanso
2025-07-20 01:13:30 Esperando a reiniciar el trabajo..., te quedan 1066 minutos de descanso
2025-07-20 01:14:30 Esperando a reiniciar el trabajo..., te quedan 1065 minutos de descanso
2025-07-20 01:15:30 Esperando a reiniciar el trabajo..., te quedan 1064 minutos de descanso
2025-07-20 01:16:30 Esperando a reiniciar el trabajo..., te quedan 1063 minutos de descanso
2025-07-20 01:17:30 Esperando a reiniciar el trabajo..., te quedan 1062 minutos de descanso
2025-07-20 01:18:30 Esperando a reiniciar el trabajo..., te quedan 1061 minutos de descanso
2025-07-20 01:19:30 Esperando a reiniciar el trabajo..., te quedan 1060 minutos de descanso
2025-07-20 01:20:30 Esperando a reiniciar el trabajo..., te quedan 1059 minutos de descanso
2025-07-20 01:21:30 Esperando a reiniciar el trabajo..., te quedan 1058 minutos de descanso
2025-07-20 01:22:30 Esperando a reiniciar el trabajo..., te quedan 1057 minutos de descanso
2025-07-20 01:23:30 Esperando a reiniciar el trabajo..., te quedan 1056 minutos de descanso
2025-07-20 01:24:30 Esperando a reiniciar el trabajo..., te quedan 1055 minutos de descanso
2025-07-20 01:25:30 Esperando a reiniciar el trabajo..., te quedan 1054 minutos de descanso
2025-07-20 01:26:30 Esperando a reiniciar el trabajo..., te quedan 1053 minutos de descanso
2025-07-20 01:27:31 Esperando a reiniciar el trabajo..., te quedan 1052 minutos de descanso
2025-07-20 01:28:31 Esperando a reiniciar el trabajo..., te quedan 1051 minutos de descanso
2025-07-20 01:29:31 Esperando a reiniciar el trabajo..., te quedan 1050 minutos de descanso
2025-07-20 01:30:31 Esperando a reiniciar el trabajo..., te quedan 1049 minutos de descanso
2025-07-20 01:31:31 Esperando a reiniciar el trabajo..., te quedan 1048 minutos de descanso
2025-07-20 01:32:31 Esperando a reiniciar el trabajo..., te quedan 1047 minutos de descanso
